CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,naive_bayes_level_months_inactive_12_mon_1,naive_bayes_level_months_inactive_12_mon_2
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,5.70E-05,0.99994
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,6.08E-05,0.99994
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,0.0001546,0.99985
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,0.00016471,0.99984
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45,0.00027008,0.99973
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05,0.00032436,0.99968
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615,2.76E-05,0.99997
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246,0.00013405,0.99987
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364,618,8746,0.554,1099,27,0.8,0.066,0.00012583,0.99987
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592,1676,19916,1.097,1873,52,0.529,0.078,9.96E-05,0.9999
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,3,2,2189,1666,523,0.343,1287,36,0.636,0.761,0.00027008,0.99973
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,1,2,7577,2480,5097,0.435,1409,35,0.167,0.327,7.97E-05,0.99992
